,ts_code,exchange,name,per_unit,opt_type,call_put,exercise_type,exercise_price,maturity_date,list_date,delist_date
1199,10001600.SH,SSE,华夏上证50ETF期权1906认购2.40,10000.0,ETF期权,C,欧式,2.4,20190626,20181203,20190626
1200,10001601.SH,SSE,华夏上证50ETF期权1906认购2.45,10000.0,ETF期权,C,欧式,2.45,20190626,20181203,20190626
1201,10001602.SH,SSE,华夏上证50ETF期权1906认购2.50,10000.0,ETF期权,C,欧式,2.5,20190626,20181203,20190626
1202,10001603.SH,SSE,华夏上证50ETF期权1906认购2.55,10000.0,ETF期权,C,欧式,2.55,20190626,20181203,20190626
1203,10001604.SH,SSE,华夏上证50ETF期权1906认购2.60,10000.0,ETF期权,C,欧式,2.6,20190626,20181203,20190626
1204,10001605.SH,SSE,华夏上证50ETF期权1906认购2.65,10000.0,ETF期权,C,欧式,2.65,20190626,20181203,20190626
1205,10001606.SH,SSE,华夏上证50ETF期权1906认沽2.25,10000.0,ETF期权,P,欧式,2.25,20190626,20181203,20190626
1206,10001607.SH,SSE,华夏上证50ETF期权1906认沽2.30,10000.0,ETF期权,P,欧式,2.3,20190626,20181203,20190626
1207,10001608.SH,SSE,华夏上证50ETF期权1906认沽2.35,10000.0,ETF期权,P,欧式,2.35,20190626,20181203,20190626
1208,10001609.SH,SSE,华夏上证50ETF期权1906认沽2.40,10000.0,ETF期权,P,欧式,2.4,20190626,20181203,20190626
1209,10001610.SH,SSE,华夏上证50ETF期权1906认沽2.45,10000.0,ETF期权,P,欧式,2.45,20190626,20181203,20190626
1210,10001611.SH,SSE,华夏上证50ETF期权1906认沽2.50,10000.0,ETF期权,P,欧式,2.5,20190626,20181203,20190626
