,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/8/26,1956.4,1819.6,25506.0,IH1509.CFE,371256.0,208705000000.0,1860.6,1781.0,20150826,1829.6,1853.8,10.0,IH1509|FU|CFFEX,IH1509,1809.8
2015/8/27,2043.0,1860.6,27404.0,IH1509.CFE,363261.0,210838000000.0,1982.8,1870.0,20150827,2034.2,1870.0,173.6,IH1509|FU|CFFEX,IH1509,1829.6
2015/8/28,2104.0,1982.8,25107.0,IH1509.CFE,273270.0,167976000000.0,2065.2,2009.8,20150828,2073.0,2067.8,90.2,IH1509|FU|CFFEX,IH1509,2034.2
2015/8/31,2072.6,2065.2,23446.0,IH1509.CFE,165697.0,101294000000.0,2053.2,1983.4,20150831,2052.8,2060.2,-12.4,IH1509|FU|CFFEX,IH1509,2073.0
2015/9/1,2095.0,2053.2,22705.0,IH1509.CFE,192928.0,118480000000.0,2051.4,1969.0,20150901,2036.0,2049.8,-17.2,IH1509|FU|CFFEX,IH1509,2052.8
2015/9/2,2144.0,2051.4,23523.0,IH1509.CFE,206868.0,128467000000.0,2060.0,2000.0,20150902,2007.8,2011.0,-43.6,IH1509|FU|CFFEX,IH1509,2036.0
2015/9/7,2208.0,2060.0,19824.0,IH1509.CFE,16627.0,10599043080.0,2073.4,2047.8,20150907,2052.4,2060.0,-7.6,IH1509|FU|CFFEX,IH1509,2007.8
2015/9/8,2182.0,2073.4,17757.0,IH1509.CFE,11823.0,7471761000.0,2149.4,2051.2,20150908,2170.4,2075.0,97.0,IH1509|FU|CFFEX,IH1509,2052.4
2015/9/9,2205.4,2149.4,16127.0,IH1509.CFE,9056.0,5923114140.0,2175.0,2160.4,20150909,2177.8,2194.0,28.4,IH1509|FU|CFFEX,IH1509,2170.4
2015/9/10,2198.6,2175.0,14976.0,IH1509.CFE,6902.0,4500729720.0,2180.6,2145.8,20150910,2181.6,2159.6,6.6,IH1509|FU|CFFEX,IH1509,2177.8
2015/9/11,2213.4,2180.6,13421.0,IH1509.CFE,6424.0,4220584200.0,2178.4,2168.2,20150911,2176.2,2184.0,-4.4,IH1509|FU|CFFEX,IH1509,2181.6
2015/9/14,2211.0,2178.4,11764.0,IH1509.CFE,8613.0,5539415700.0,2128.2,2100.0,20150914,2134.0,2208.2,-44.4,IH1509|FU|CFFEX,IH1509,2176.2
2015/9/15,2175.0,2128.2,10305.0,IH1509.CFE,6459.0,4169364660.0,2146.6,2130.8,20150915,2160.0,2136.0,31.8,IH1509|FU|CFFEX,IH1509,2134.0
